"YEAR","SO","BB","1B","2B","3B","HR"
1961,13.6356168884508,9.03564974535896,22.7728304839128,3.63068835222606,0.689995071463775,2.49712502053557
1962,14.0976236351959,8.78291586384072,22.7911509915029,3.46820809248555,0.690430314707771,2.40847784200385
1963,15.3481529911736,7.8457012095456,21.9972020247757,3.3507682249101,0.6538084341288,2.2066034651847
1964,15.6260162601626,7.82113821138211,22.3846916517946,3.47967479674797,0.617886178861789,2.24390243902439
1965,15.7054415118931,8.17855979146302,21.8598921875181,3.42130987292278,0.635386119257087,2.18312153796025
1966,15.4478225143796,7.67460969597371,22.2463336099316,3.38537387017256,0.673788003286771,2.25143796220214
1967,15.9389363099146,7.92843072882469,21.6202729088535,3.34865397242285,0.656598818122127,1.88772160210112
1968,15.8417480549578,7.58152623737792,21.1979876735372,3.19483529217017,0.579374275782155,1.6553550736633
1969,15.1578947368421,9.06882591093117,21.8956547394647,3.27125506072874,0.566801619433198,2.10526315789474
1970,14.979106396657,9.19318547090968,22.365335888322,3.50369656059145,0.626808100289296,2.29829636772742
1971,14.2810404056928,8.53917879928022,22.0864326571742,3.35350891542614,0.556191722558482,1.94667102895469
1972,14.7976680384088,8.38477366255144,21.644794530343,3.32647462277092,0.531550068587106,1.81755829903978
1973,13.6774193548387,8.80645161290323,22.7559833506764,3.51612903225806,0.532258064516129,2.08064516129032
1974,13.0925507900677,8.70686875201548,22.7211088869711,3.49887133182844,0.564334085778781,1.7736214124476
1975,12.9662522202487,9.01017277571452,22.6857521249373,3.66542870983368,0.597448732439851,1.80849346035847
1976,12.6991869918699,8.39024390243902,22.6714257386476,3.54471544715447,0.650406504065041,1.51219512195122
1977,13.439562208273,8.51440527925318,23.4352284241525,3.99163045227748,0.724287783679382,2.25333977144697
1978,12.5918667319941,8.52523272905439,22.8256449679069,3.8869835048179,0.636942675159236,1.86183243508084
1979,12.5,8.47924773022049,23.5277344597698,4.00453955901427,0.664721141374838,2.14007782101167
1980,12.5322580645161,8.17741935483871,23.5561914672216,3.93548387096774,0.661290322580645,1.91935483870968
1981,12.4969310090842,8.37220721826663,22.6592467965401,3.78099680824945,0.613798183157378,1.69408298551436
1982,13.1697869593286,8.26339573918657,23.2631185866806,3.921885087153,0.597159457714655,2.09812782440284
1983,13.5157008740693,8.41696341858207,23.199521354243,4.0304305600518,0.647458724506313,2.05568145030754
1984,14.005829015544,8.29015544041451,23.1782858264651,3.86981865284974,0.615284974093264,2.02396373056995
1985,14.0123256568278,8.62795977943562,22.837168324638,4.00583846902368,0.600064871878041,2.25429776192021
1986,15.3547761435267,8.84111847422014,22.8066905354739,4.04073056408599,0.53337643445935,2.37594957168256
1987,15.4945407835581,8.87925497752087,23.290264325158,4.1907514450867,0.54592164418754,2.74566473988439
1988,14.6492659053834,8.14029363784666,22.6341715255915,4.01305057096248,0.522022838499184,1.99021207177814
1989,14.7847278635256,8.44841592201462,22.5764817756297,3.94800974817222,0.536149471974005,1.93338748984565
1990,14.8718780408693,8.64417774894583,22.8562795420336,4.07071034706455,0.535192993837172,2.07590009730782
1991,15.1706291444283,8.70127769691089,22.6314769731816,4.04334465469837,0.549894873038978,2.10253922044315
1992,14.6558704453441,8.51821862348178,22.6638037010933,4.08097165991903,0.534412955465587,1.89473684210526
1993,15.0786012191209,8.66217516843118,23.4179943388472,4.26692332370869,0.54539621430863,2.30991337824832
1994,15.8794421952317,8.95186684660369,23.7110938297102,4.58839406207827,0.562303193882141,2.65407107512371
1995,16.2229765946043,9.09415758442023,23.4665805455071,4.4488118634983,0.518134715025907,2.60854028944077
1996,16.5376717738114,9.08229347654399,23.7436885255043,4.50165850576528,0.489654083083241,2.79576686147528
1997,17.0521614292551,8.93284415377253,23.5010284002226,4.56213112139097,0.51044823735843,2.64795023129686
1998,16.9375398342894,8.73167622689611,23.5052976304361,4.63671128107075,0.478011472275335,2.69279796048439
1999,16.4004428277716,9.4259054246402,23.7703221501754,4.60224576941325,0.490273604301756,2.91001107069429
2000,16.4774519079155,9.58688111005992,23.648950830716,4.68306527909177,0.504572690003154,2.99590034689372
2001,17.3271297930371,8.4549975934542,23.3413424543637,4.71682977699342,0.497352799614953,2.91994224290069
2002,16.8140170390612,8.71242565503938,23.0529408908711,4.66162996302845,0.498312168461662,2.71660504742003
2003,16.4372599231754,8.48271446862996,23.3836978921603,4.70550576184379,0.496158770806658,2.78489116517286
2004,16.8814638027049,8.60779634049324,23.4829173019318,4.7255369928401,0.477326968973747,2.89578361177406
2005,16.4412238325282,8.16425120772947,23.479505550499,4.75040257648953,0.483091787439614,2.68921095008052
2006,16.8288403254108,8.4223959164141,23.8276131865557,4.86520976232254,0.51044823735843,2.87127133514117
2007,17.0669635756323,8.52552886909496,23.7155935067043,4.88309209479879,0.493080960712582,2.62446317798632
2008,17.5247841381516,8.71442276942757,23.3149511527205,4.79692996482251,0.479692996482251,2.60633194755357
2009,17.9602309172546,8.88389993585632,23.1418595742983,4.66645285439384,0.513149454778704,2.6940346375882
2010,18.4963621665319,8.50444624090542,22.804618313402,4.57558609539208,0.468876313662086,2.48989490703314
2011,18.6234817813765,8.11336032388664,22.6966513137406,4.53441295546559,0.48582995951417,2.46153846153846
2012,19.7752076885486,7.98175598631699,22.7128853228915,4.47955693109627,0.504968235869034,2.6714448607265
2013,19.8636806231743,7.91950665368387,22.6487509535098,4.4466082440766,0.421940928270042,2.5154170723791
2014,20.3555700538248,7.61702821725657,22.5059479247222,4.42015984341869,0.456695481976839,2.2834774098842
2015,20.3888253553341,7.66214670805424,22.8119835989567,4.49272994608724,0.506453193922562,2.67930076784839
2016,21.1116528522672,8.17487404518121,22.7697083174225,4.46936453762392,0.471314805785796,3.03916788558427
2017,21.6448113971183,8.547838756678,22.6441213493402,4.53294479520803,0.437105390966489,3.30257406508014
2018,22.2654350996597,8.47512558742505,22.0233290191357,4.4725328147788,0.453735213093502,3.01409820126398
2019,22.7729885057471,8.6566091954023,21.9682050138724,4.48994252873563,0.395114942528736,3.52011494252874
